,kata,sentimen
1008,gojekindonesia baik beri himbauan utk parkir dlm mall tunjuk karcis klaim langgan langgan baik beri uang parkir driver ojol kalau memang biaya parkir dalam gedung mall jangan pelit kasihan klo bgin,0
1009,mana tau muncul sms gojek pas nelfon call center malah ga peduli sama sekali,0
1010,gojekindonesia min mau hapus akun gimana,0
1011,dm bls dong min,0
1012,gojekindonesia hallo min driver gojek pernah ganti kartu atm bca karna ketel mesin atm sekarang dapat kartu baru gojek pas login m bca akses layan finansial aktif bisa aktif cabang bca terde,0
1013,banyakin vocer,0
1014,kirain jalanin aja dulu manatau nyaman,0
1015,min gojekindonesia udah kali naik gocar bayar cash anter sih sampe tuju order dicancel sama drivernya kata potong gede banget kalo di jalan kan jadi ga bikin lapor kesel tu min,0
1016,gojekindonesia,0
1017,hai informasi pihak gojek pernah hubung customer minta kode otp kait perihal sebut mohon tidak beri data siapa hati hadap tipu sila klik https www gojek com blog jagakerahasiaankodeverifikasigojekmu terima kasih feb,0
1018,min mau tanya apa go tix ada batas waktu bayar malam tunggu tiket persija vs badak lampung kelas vvip full booked terus bayar di hangus kan pesan kami yang belum ked,0
1019,lu doang emangg wkwkw,0
1020,gojekindonesia tiket tanding persija vs badak lampung vvip full booked malam tdk batas waktu bayar biar kalau bayar pesan hangus kan,0
1021,gojekindonesia can you disable my paylater facility will never use this anyway after without previous information your monthly fee is blood sucking but thanks anyway glad to know it could be a trap pic twitter com gqvtaxkv,0
1022,lah lonte ibu tipu gojek nya lah gajelas gimana nih tanggepannya gojekindonesia https twitter com healyeaah status,0
1023,gojekindonesia min sy kan ad belanja jdid tp batal biasa dana nya balek gopay brp hari yaa,0
1024,gojekindonesia min bales dm,0
1025,bahkan tipu nelfon kakak aku sms sama gojek beneran gitu loh yg auto keluar nama gojek seelah tipu sms nya ilang g respect sm gojek,0
1026,lu gamau bagi kode promo apa gojekindonesia grabid,0
1027,hai suci proses tangan lebih lanjut sila kirim email customerservice gojek com guna alamat email yg daftar akun gojek ya terima kasih feb,0
1028,kakak aku tipu beneran atas nama gojek jt waktu lapor gojek gojek ga peduli sm sekali kecewa beneran gojekindonesia,0
1029,gojekindonesia,0
1030,min gojekindonesia,0
1031,gojekindonesia kaa sy mau hapus akun gojek krna sy punya akun dg satu no hp tidak aktif sy mau pake akun yg biasa dipake kasih tau cara terima kasih,0
1032,hai kak kakak laku bayar kapan atau saaat jatuh tempo apabila kakak lambat laku bayar fitur paylater dapat sementara waktu ada lunas tks krn,0
1033,gojekindonesia aku dapet voucher beneran apa ngga sih pas buka ga voucher sama sekali pic twitter com dnmkkrlpv,0
1034,i get like unnecessary notifications everyday pls make a setting to turn it off gojekindonesia,0
1035,hai mulian kait tanya keluh putar paylater kamu lalu mention gojekindonesia saran kirim email support findaya com informasi detail tanya keluh dapat tindaklanjuti terima kasih yun,0
1036,gojekindonesia hapus account gojek email grayson wijaya gmail com nama grayson wijaya nomor telp,0
1037,biar bisa ganti twitter for android jadi twitter for iphone,0
1038,gojek aku ken marchendes dong tumbler aja gpp ga maksa ko kalau sih kulkas kalau tv,0
1039,selamat datang malaysia,0
1040,gojekindonesia mau bayar paylater gabisa buka ya mohon tunjuk,0
1041,gojekindonesia dong kok email gak di hubungin email jgulielmus gmail com kata akun sudah hubung yang,0
1042,doain gua yak min jadi pribadi lebih baik nanti,0
1043,gojekindonesia min ada mau ditanyakeu putar paylater tombol dm gada,0
1044,dihhh mauu,0
1045,gojekindonesia folback donk ada tanya kan,0
1046,hayoo siapa duluan gojekindonesia grabid https twitter com businessinsider status,0
1047,gojekindonesia mohon bantu kendala apa map goride gocar tdk ini habis update app nya terima kasih pic twitter com uxhexzujc,0
1048,udah min tp tetep ga sama aja kaya yg aku screen capt,0
1049,wkwkwkwk kan kata ada tidak mungkin,0
1050,waktu login dgn nmr telp knp yg muncul akun gojek atas nama org ya,0
1051,tanya aja gojekindonesia fin,0
1052,hai riska sila restart aplikasi gojek dengan cara hapus file clear cache simpan memori internal handphone dan sila laku login terima kasih yun,0
1053,gojekindonesia min di followback dulu dong masalah yg mau bicara lwt dm makasih,0
1054,promo gofood sifat batas terima kasih yun,0
1055,gojekindonesia min koq habis log out coba login lg ga ya sedih akutuuu pic twitter com klemdiwyel,0
1056,emgnya baca fa kalo gembok akun,0
1057,gw prnh beli gofood mau byr online kok tdk bayar pake ovo,0
1058,ngapus kenang buruk aja deh gimana coba,0
1059,gojekindonesia pagi laku transfer gopay upload dokumen tidak kunjung selesai ini jadi sejak bulan lalu belum selesai mohon bantu tampil lihat itu pdhl dulu sdh laku,0
1060,hai info lebih detail kendala anda alami terima kasih feb,0
1061,you know what gojekindonesia you need to take this seriously your data pool is not safe nerima telepon tipu gin kurang satu menit stlah gojek ngirim kode verifikasi pikir gak knp tipu bisa tau gojek baru ngirim kode verifikasi nmr,0
1062,gojekindonesia grabid hm timbang nih,0
1063,lha td pagi mau beli paket langgan gojekindonesia ga krn server overload sekarang malah paket habis and don t give me that shit like maaf tunggu aja nanti ada i don t need that shit pic twitter com mfdpjkwpl,0
1064,gofoodkerupuk,0
1065,gojekindonesia min kalo mau ganti aki bisa pake layan goauto golifeindonesia ngga skrg skrg menu nya untun awat pdhl dulu ada,0
1066,gojekindonesia fitur baru paylater gabisa dipake buat gomart,0
1067,gojekindonesia hi gojek mau tny kalau mau tutup akun paylater disalahgunakan org bgmn,0
1068,hai raja laku kece sila informasi nomor telepon email lalu dm terima kasih yun,0
1069,gojekindonesia bagaimana cara hapus akun gojek apakah cara terimakasih,0
1070,heh min gojekindonesia customer koyok ngene tetep mbok ingu sing mbok hukum mitra atas laku customer model ngene pic twitter com xnjftmplz,0
1071,mohon bantu kak pontaid gojekindonesia redeem go point ponta masuk hari sudah dm akun ig ponta ada tanggap pic twitter com wsvqslw,0
1072,min gimana upgrade gopay kok ga selesai padahal butuh udah dr tgl agustus gojekindonesia,0
1073,butuh sopir bilingual dong ay tendang gojekindonesia,0
1074,gojekindonesia grabid gogreen grabtrash,0
1075,gojekindonesia gimana pic twitter com lokdbjsj,0
1076,gojekindonesia min tadi mau pakai voucher potong pepsodent bisa kasir alfa tulis promo akhir padahal baru kemarin,0
1077,emg kode verifikasi buat apa,0
1078,gojekindonesia min udh selesain mission kok ga dpt reward apa kata dapet k sampe skrg gaada samsek pic twitter com zqbpggxju,0
1079,emaik lapor driver gojek mana,0
1080,cara daftar jadi supir gocar gimana yg online,0
1081,kak kenapa gin terus pic twitter com tuybvmftfo,0
1082,parah min tmn gw kmrn tipu juta juta gaes juta,0
1083,hai ramdan info lebih lanjut sila unjung link https www gojek com blog promogofood terima kasih yun,0
1084,gojekindonesia,0
1085,gojekindonesia hp sy tinggal gocar samsung galaksi a plus rute jalan pulang pantai losari jalan somba opu makassar pukul tuju sd inpres tamalanrea iv btp jadi nya tgl agustus mohon bantu tuk,0
1086,gojekindonesia angkat mas jd direktur https twitter com ryan nus status,0
1087,gojekindonesia kode promo gofood hari ada ga min,0
1088,admin prabayar,0
1089,lol for you fix situ gk ngerti sama sekali dgn yg tulis gk usah paksa dek,0
1090,aku bisa bukti benar atas apa yg ungkap perlu suruh untuk membeca opini anda cara ulang,0
1091,gojekindonesia,0
1092,hai maaf atas kendala sebut dapat tindaklanjuti mohon follow dm ya tks feb,0
1093,gojekindonesia min paylater aku kon tagih biaya bulan kali untuk agustus padahal udah bayar,0
1094,dear mimin gojekindonesia tadi malam sen gofood via gojek makan sampai rumah lapor selesai order udah terbit gopay udah potong gimana tanggap pic twitter com zeimpn,0
1095,gojekindonesia min buat ambil jaket pre order kapan,0
1096,nah peluang mba,0
1097,masih tunggu no order yg kendala dapat tindaklanjuti tks feb,0
1098,hai santi dapat bantu cek mohon info no hp email screenshot transaksi lalu dm tks feb,0
1099,barang bikin ngiler gin kok ada gofood sih hayuk gojekindonesia mohon vendor diapproach https twitter com alvinna status,0
1100,iya akhir hari yg janji paling banyak cuma hari bs pakai twit ga respon cs ditelp cuma jawab kyk robot tp hasil gak lalu janji cs bhw email dlm jam direspon jg bohong gak percaya lah dgn promo gojek spt tipu sistem kacau,0
1101,wkwkwk lelaki selalu salah,0
1102,sudah tukar poin gojek sekitar bulan juni hadiah topi belum kirim bagaimana gojekindonesia,0
1103,kamu gapernah salah kok wanita,0
1104,kemaren waktu kelas tlp nomer biasa ngakunya dr gojek dapet voucher jt kalo gasalah betul yg angkat tmn aku krn aku gasuka angkat tlp no ga kenal bkn no kantor gojekindonesia tlg konsumen imbau takut yg gapaham kl ini tipu,0
1105,min minta untuk kirim kode verifikasi,0
1106,hai belum yang hubung yang mengatasnamakan gojek terima kasih feb,0
1107,gojekindonesia mohon bantu min yang ganti nomor pada akun gojek sehingga tidak login juga yang retas akun dengan modus tipu pic twitter com dbkqflxud,0
1108,halo gopayindonesia gojekindonesia kenapa dari subuh td gin terus pic twitter com ylrqrbim,0
1109,gojekindonesia,0
1110,ga stop layan pay later udah clear ga utang tp tetep admin fee ga mau mau stop aja gimana cara gojekindonesia,0
1111,hai dapat proses sila info no hp email yg daftar lalu dm tks feb,0
1112,gojekindonesia min hp goride sodara jatuh terus hilang takut akun salah gimana cara buat blokir cepat,0
1113,gojekindonesia,0
1114,hai mohon maaf atas ketidaknyamanan agar ditindaklanjuti mohon informasi nomor order nomor telepon lalu dm tks fzy,0
1115,gojekindonesia minta kemarin mlm orang gatau siapa sen gofood trs saldo gopay ku kurang,0
1116,gojekindonesia cek dm please thx,0
1117,hai ridho dapat ditindaklanjuti mohon informasi nomor telepon email yang daftar alas untuk hapus akun gojek lalu dm tks fzy,0
1118,kak gojekindonesia aku mau hapus akun gojek ni,0
1119,min gojekindonesia minta sosialisasi kepada driver kenan ambil order jangan diam order lebih baik aplikasi di mati kasi tumpang nunggu lama sementara driver ga gerak di hubung tidak bisa,0
1120,hai mohon maaf atas ketidaknyamanan agar ditindaklanjuti mohon informasi nomor telepon yang daftar screenshot kendala lalu dm tks fzy,0
1121,gojekindonesia tindak lanjut begini,0
1122,gojekindonesia,0
1123,gojekindonesia min knp saya ga paylater apa sy telat bayar hari nomernya sy kirim dm,0
1124,kalo driver gojekindonesia punya gaji tetap tiap bulan bukan gantung rajin tidak order gua bakal jadi mitra driver gojek,0
1125,gojekindonesia kendara gojek ugalan senggol kendara kabur sempat kejar dan gojek tsb jatuh helm nya bgmn csr gojek pic twitter com ztejrqkog,0
1126,cara pakenya gimana kok gabisa gojekindonesia pic twitter com mswvzgfk,0
1127,carane piewe,0
1128,gojekindonesia gofoodindonesia barusan pesan kenapatidak sesuai pesan gambar ha dapat nasi loncang sledri harga parahhh bukan soal nominal kenapa sesuai gambar pic twitter com gwtkjgx,0
1129,saya dm,0
1130,gojekindonesia min ini knp ga padahal aman aman aja pic twitter com agemoget,0
1131,ma ku prnh blm lama jg tlpn ngaku dr mitra gojekindonesia beliau blg klo nyokap ku menang hadiah gopay jt nyokap tau tipu lgsg nyokap matiin eh abis org nya ngesms smbil ngata in nih bukti sengaja sy mention pihak gojek nya tindak lanjut pic twitter com xiyopohbv,0
1132,ya via dm,0
1133,hai informasi detail kendala serta screenshotnya lalu dm ditindaklanjuti tks fzy,0
1134,mau nanya kok gojekindonesia gue gaa da subscription nya ada apa sih sama app gojek gue elah,0
1135,gojekindonesia kenapa gak trf gopay ngestuck mulu pic twitter com mjfrtrv,0
1136,guna alamat email yg daftar akun gojek ya terima kasih fzy,0
1137,,0
1138,gojekindonesia min nomor udah blokir dipake gojek gimana balikin accountnya bgt,0
1139,mantan gua kuras abis dong saldo atmnya waktu gara gara,0
1140,nih bukti pic twitter com dgvtfhl,0
1141,gw salah satu korban tahun lalu gojekindonesia mau bawa tipu ke ranah pidana,0
1142,gojekindonesia min utk area sby gresik ada utk daftar driver baru,0
1143,tinkerbell pake baju hijau masuk gojekindonesia grabid pic twitter com jerzxtxw,0
1144,atribut grabid dipadupadankan atribut gojekindonesia pic twitter com rqjcdabacf,0
1145,hai putri lapor akan tindaklanjuti mohon selalu waspada hadap tindak tipu mengatasnamakan gojek jangan ikan kode otp kepada siapaun minta sila klik link ikut https www gojek com blog jagakerahasiaankodeverifikasigojekmu tks fzy,0
1146,gojekindonesia pontaid udh tuker gopoint x point ponta tidak tambah pic twitter com ggoywr,0
1147,dear gojekindonesia kalau buat iklan mohon pikir dulu jujur lebih neng dibekelin sm mama wlpn cm pake perkedel kentang doang bcs lebih arti kl mau buat iklan plcb pikir dulu bnyk netizen indonesia,0
1148,sama kan jam tanggal it is not new that sometimes they just make a bullshit route because the driver wouldn t follow the route anyway pic twitter com cylpzrn,0
1149,masih murah sih minimal tarif jadi wajar sih ga mahal lah asal bener aja sistem rute ga sering bikin rute konyol gojekindonesia pic twitter com xamipqda,0
1150,gojek gojekindonesia gopayindonesia akun tipu mengatasnamakan gojek mohon bijaksana ubah filtur gojek orang mudah tipu untuk lain mohon hati terimakasih pic twitter com ykrbjutpq,0
1151,sistem rute bukan gps yg akurat ka kalau penasaran coba aja bikin rute sendiri google maps centang boks lewat jalan tol pic twitter com tamgwgp,0
1152,imigrasi besar pulang jawa sulawesi yg tinggal orang ambon ntt manado tanda apa sumaui trisakti bui adkesma beritasatu maranathacareer metro tv gojekindonesia kompastv suarapapua mediaindonesia freewestpapua bemundip https twitter com intanratuaja status,0
1153,hina kah makan perkedel bekel makan buat nyokap gojekindonesia kalo yg gratis harus bayar bom pake kasih sayang bikin cagg,0
1154,sama di timorleste bataliyon dg lengkap helikopter pesawat tempur demokrasi yg merdeka sumaui seputarkupangid bem fhui mediaindonesia bemkm ugm metro tv freewestpapua kompastv bemundip beritasatu gojekindonesia fahiraidris https twitter com veronicakoman status,0
1155,gojekindonesia hi kak mau tanya dong aku tiap mau sen gojek rumah posisi selalu citra garden padahal asli jaya chemika gps nyala kok jadi ketik ulang biar reconfirm titik jemput apa baik terima,0
1156,hai dapat ditindaklanjuti mohon informasi nomor telepon email yang daftar lalu dm tks fzy,0
1157,dear gojekindonesia emang kalo cuma perkedel jadi turut ngana perkedel bukan makan layak bom pernah ngerasain perledel emak gue lo,0
1158,mz coba dulu tengkyuuu saran,0
1159,gatau celll takut sih gitu hhhh,0
1160,selalu gin beberapa tahun lalu malem pun teman mama ada kena k itupu masih sadar untung anak keburu dateng kalo engga habis tipu gojekindonesia,0
1161,dear gojekindonesia hp hilang curi sini cara login hp atau logout hp curi harus lalu verifikasi sms,0
1162,gojekindonesia cek dm ada info akun usaha tipu barusan,0
1163,ngejar target banget emang,0
1164,gojekindonesia gojek admin gimana sih kok ga kirim dm block pic twitter com jumvjplvts,0
1165,hai mohon maaf atas ketidaknyamanan bisa informasi detail kendala serta nomor order via dm ditindaklanjuti tks fzy,0
1166,pak abang gojek yg suka manggkal bawah fly over kalibata tertib bikin macet kl sore,0
1167,hai mohon maaf atas ketidaknyamanan sila follow dm agar dapat menindaklanjuti keluh tks fzy,0
1168,instan langsung pilih aja driver lagi lowong kayak dulu pernah fiturnya deh sekarang gak lagi gimana lebih sering sewa gocar grabcar antar makan banding ojol jadi kurang tahu kondisi kini ojol kek gimana,0
1169,hai akmal mohon maaf atas ketidaknyamanan untuk lebih lanjut sila keluh lalu email csgolife gojek com mohon tunggu konfirmasi tks fzy,0
1170,gue udh jd korban untung gopay isi cuman rb gatau sistem tipu gmn tp mrka cuman ngambil uang dr gopay gue rb gitu pdhl mrk pgg akun aku kali hr akhrnya tiap hr nelpon gjk mlwti proses yg bnr lama krn bkn cs prioritas tp beres jg thx gojekindonesia,0
1171,gojekindonesia hallo admin ingin verfikasi akun golife tapi kok gabisa min terima kasih,0
1172,gojekindonesia hr sy pesan gofood pizza hut mercure tp pesan tdk sesuai sy pesan pizza dg stuffcrust tp yg antar yg biasa tanpa struk beli selisih harga k sih tp sptnya sering deh kena ginian gofood akhir pas,0
1173,maaf mimin lupa ato emang ngga solusi buat masa kemaren okk lah apps tetangga msh jalan baik kok hehehe cuma mau ngindari produk luar aja terimakasih,0
1174,gojekindonesia kak kenapa gin terus pic twitter com eqaapxfutf,0
1175,aku udh kali kena puji tuhan aku mudah enak tipu mana orang marah kalau aku balik nanya nanya gojekindonesia,0
1176,hai satya perihal keluh saran untuk laku ubah data nomor baru belum daftar dapat hubung kami lalu email yang daftar customerservice gojek com tks shl,0
1177,coba nugget gak sebackfire bounce back and comeback stronger tim marketing campaign gojekindonesia https twitter com maulanagituri status,0
1178,min gojekindonesia cepat mau beli kopi saldo gopay kurang,0
1179,gojekindonesia teman kasih promo biar bahagia,0
1180,min kan banyak nih tipu atas nama gojek kaya gitu apa udah tindak cari no telpon data laku,0
1181,gojekindonesia min kom diapk customer tdk paylater,0
1182,cek dulu logged in device,0
1183,hai kak mohon maaf atas kendala alami laku kece sila informasi nomor telepon email anda lalu dm tks rno,0
1184,pak kan goheli pak cc gojekindonesia,0
1185,nomor benar gapake awal gabisa nerima kode otp pas klik continue masukin no hp langsung muncul error sesuai foto gimana min,0
1186,gojekindonesia habis topup gopay via mandiri mobile status transaksi hasil saldo gopay tambah ditindaklanjuti,0
1187,gojekindonesia mohon maaf gojek saldo gopay belum saat bayar makan burgushi yg gagal proses sudah notif kembali,0
1188,cek dm min,0
1189,gojekindonesia min mau ganti email dg email yg daftar tpi nomor hp nya mati bantu,0
1190,beneran gak tanggap wahai gojekindonesia okedeh cukup tau aja,0
1191,iya kemarin saya abis bal semua ada pake kantong plastik mau beli indomaret supermarket lai aku harap bal jadi contoh semua,0
1192,hai mohon maaf atas ketidaknyamanannya informasi nomor order kendala via dm dapat proses lebih lanjut tks shl,0
1193,gojekindonesia admin akun gojek tidak laku transaksi gopay karna belum setting pin sedang nomor hp yg guna jadi akun hangus tidak dpt terima sms kode ada solusi,0
1194,hai mohon lebih informasi nomor order kendala lalu dm tks shl,0
1195,hai informasi lebih detail kena kendala via dm tks shl,0
1196,gojekindonesia mau tanya dong kalau bulan agustus pakai pay later kata ribu bulan september tidak pakai nya saya tetap di kena biaya ribu,0
1197,mana salah gojekindonesia pic twitter com punbks,0
1198,sekian gojekindonesia,0
1199,halo gojekindonesia mau komplain sebentar hari dapet driver cukup jengkel buat saya,0
1200,malam gojekindonesia mau komplain tadi pagi pkl coba top up gopay dr atm bni kok saldo masuk jg padahal saldo tabung sy udah kurang jadi yg sama jg jadi tgl kemarin sampe sekarang jg tambah saldo gopay sy mohon cerah,0
1201,nah coba gaes masa benhil stasiun karet aja muter lewat gi terus thamcit drivernya ngajak belanja dulu gimana sangat sesal map gojek sungguh,0
1202,hai kal maaf atas ketidaknyamanan untuk informasi lebih lanjut perihal layan map harap informasi keluh dengan kirim email csgotix gojek com tks mth,0
1203,gojekindonesia cek dm pls,0
1204,terima kasih gojek atas voucher murah ribu kali jalan gojekindonesia,0
1205,gojekindonesia gila yah gps benerin donk masa order kasih driver jauh bgt sampe x gak mau cansel lg driver klo kena banned trus langgan yg rugi gtu,0
1206,nyata tarif gojekindonesia grabid naik parah promo gede kalau tarif tetap gede sama ja,0
1207,ngapapa temenku udah sampe bilas baju w mas loyal nungguin but well akhir aku nge grabid,0
1208,hai nomor telepon masuk benar aktif kemudian tulis nomor telepon benar hilang angka awal tulis pasti anda terima kode otp lalu sms login tks shl,0
1209,susah bgt dapet driver si pdahal dah laper bgt gojekindonesia apa gojek lg malming pic twitter com vgzegzrq,0
1210,percuma dapet voucher gofood banyak banget pas mau sen susah nyari drivernya padahal malang loh bukan kota kecil gojekindonesia,0
1211,hai raz maaf atas ketidaknyamanan untuk informasi lebih lanjut perihal layan gotix harap informasi keluh dengan kirim email csgotix gojek com tks shl,0
1212,gojekindonesia min kenapa gamau login dari kemarin pic twitter com tpkmlqlb,0
1213,gojekindonesia min mau nanya syarat tentu nya apa yaa trus go tix nya input kode promo apa thanks min pic twitter com hmoevpewua,0
1214,hai informasi detail kendala tks fzy,0
1215,gojekindonesia order kasih driver jauh yah lot,0
1216,jangan yg login pake akun tan,0
1217,hai tya dapat ditindaklanjuti mohon informasi nomor telepon email yang daftar alas untuk hapus akun gojek lalu dm tks fzy,0
1218,gojekindonesia mohon bantu order number rb di kontak kembali koper orange terima kasih,0
1219,cc gojekindonesia,0
1220,kalo buat jarak dekat masih kecover tarif minimum lumayan put hahaha,0
1221,hai feby mohon maaf atas ketidaknyamanan khawatir mitra sedang order sila coba laku mesan cara kala tks fzy,0
1222,ngacengan bgst,0
1223,tak shareloc otw aku,0
1224,siskaeee iku copycat sing asli etaksss,0
1225,gojekindonesia min mau tanya kok akun susah banget dapet driver utk daerah simpang lima semarang temenku dgn order yg sama lgsg dapet driver,0
1226,gojekindonesia salah pencet bintang driver,0
1227,apas woi kok aku ketawa gojekindonesia pic twitter com miahancd,0
1228,innalillahi yaa allah,0
1229,udah kali kali sekali dapet yg jarak jauh banget driver engga mau ambil jauh,0
1230,maksud bakal double carbo,0
1231,hai mohon maaf atas ketidaknyamanan khawatir mitra sedang order sila coba laku mesan cara kala tks fzy,0
1232,hallo gojekindonesia beli kuota sekarang kirim gimana mohon info nya,0
1233,gojekindonesia min inet banyak kok ini di go box pic twitter com mckdqfshh,0
1234,gojekindonesia min susah cari driver buat gofood malem di bandar lampung,0
1235,terima kasih min hampir tipu tdi untung nya gak jadi isi gopay yg kata k,0
1236,hai lebih lanjut sila keluh lalu email driversupport gojek com mohon tungu konfirmasi tks fzy,0
1237,ku kira lubang buat masukin kunci yg buledd,0
1238,lebar bazeng,0
1239,hai mohon maaf atas ketidaknyamanan untuk lebih lanjut sila keluh lalu email support findaya com tks fzy,0
1240,mbak mas dong tindak lanjutin kasi kan cust rasa nyaman drivernya udah lewat batas gojekindonesia https twitter com penyukatouge status,0
1241,masak kaya gin mau didiemin sih jeeeeek gojekindonesia pic twitter com trncnkln,0
1242,gojekindonesia cek dm,0
1243,okeee min biar sama sama enak aja yaa tumpang driver,0
1244,cari lg rbnya hehe,0
1245,jauh,0
1246,gojekindonesia mau verifikasi upgrade gopay kok pas ambil foto selfie mental mulu,0
1247,maafin aku gojek kira bantal buat mudik,0
1248,gojekindonesia selamat malam barusan top up gopay lalu atm bni besar rb lalu tulis transaksi gagal saldo potong ada solusi terimakasih,0
1249,gojekindonesia,0
1250,gojekindonesia malam kak tepat td siang sya kena tipu orng mengatasnamakan gojek kata dpt undi besar juta tadi tidak percaya dia bicara lembut ky beneran gitu situ ky kena hipnotis uang atm,0
1251,kayak driver perlu harga gojekindonesia pic twitter com yphro,0
1252,hai lebih lanjut sila keluh lalu email driversupport gojek com mohon tungu konfirmasi tks fzy,0
1253,gojekindonesia permisi mimin maap malem minggu malah nanya hehe kalo mau ganti nomer rekpon akun gojekdriver gimana soal kartu is missing,0
1254,cocok aku jadi pegawai advertisement yak,0
1255,butuh duit gojekindonesia bisa daftar bagai driver ramah lingkung scooter sepeda,0
1256,hai nanda sila informasi nomor telepon email daftar lalu dm tks shl,0
1257,juga nihh ntar bayar bagi rame tp lokasiny gk temu,0
1258,gojekindonesia,0
1259,minn aku mau coba hongdae kok lokasi gak temu gojekindonesia pic twitter com zrvbfpxj,0
1260,bantu gojekindonesia bpknya mau cari rezeki tp dpt order alamat fiktif pic twitter com dwffaqutvn,0
1261,malem malem gin laper banget mau gofood knapa si drivernya gojekindonesia susah banget dapetnya,0
1262,gojekindonesia min plis help me min kenapa dm ga bales terussssss,0
1263,baru beli voucher promo gofood kok jadi susah yaa dapet drivernya dong info min gojekindonesia,0
1264,bukan bingung makan aja kan udah mau tidur jadi lemak wkwkwk,0
1265,duh aku malah tahun lalu apa wkwkwk selalu bilang dokumen gores padahal upgrade ovo sama dana lancar lancar aja,0
1266,hai mohon maaf atas ketidaknyamanannya bagai informasi tambah laku order gantung sedia mitra aktif area mana anda laku mesan sila tunggu beberapa dan coba pesan layan yang anda tks shl,0
1267,om jokowi gak berani tangkap om saing naik bendera merah putih ketawa ntn wayang himajawafbsuny wargabetawie metro tv suarapapua kompastv gojekindonesia mediaindonesia freewestpapua youngontop cassanovabali rapi news fahiraidris https twitter com jn official status,0
1268,akuuuu awal tahunn gila ga sih gojekindonesia,0
1269,gw bangkrut make gojek ride gojek kalo misal gw laper ama mager,0
1270,gojekindonesia halo,0
1271,apa lowong driver bike ada,0
1272,gojekindonesia kaaa kok udh order x gofood pake gopay kok ga dapet cashback gopay yaa,0
1273,kirain lupa bls haha,0
1274,gojekindonesia lapor nomor proses sampe wa sm driver bluebirdgroup pic twitter com rakjshpg,0
1275,hai harap waspada hadap tindak tipu mengatasnamakan gojek anda tdk beri kode verifikasi siapa minta info lengkap sila klik link https www gojek com blog jagakerahasiaankodeverifikasigojekmu tks shl,0
1276,halo hp baru curi bisa blokir akun gojek gojekindonesia,0
1277,poskotanews lampumerahnews lambe ojol dramagojek misterojek,0
1278,please drivernya udah langgar privasi gojekindonesia https twitter com penyukatouge status,0
1279,cuma apa yg juga ngerasa akhir jogja cari diver gojekindonesia grabid susah nyee minta amponnn,0
1280,dear admin gojekindonesia kira kira kalau order goride jam drivernya ya,0
1281,hai noveleta maaf atas ketidaknyamanan untuk informasi lebih lanjut perihal layan golife harap informasi keluh dengan kirim email csgolife gojek com tks shl,0
1282,gojekindonesia gojek malang susah banget dapet driver bisa cari solusi,0
1283,tanya dong masak gojek lemah gin security system nya padahal password akun login nya cuman aku doang yg tau hp aku doang gimana nih gojek gojekindonesia pic twitter com tdrffiwo,0
1284,gojekindonesia mohon maaf min kenapa dm nya ga reson terus,0
1285,udah aku dm min responnya,0
1286,cc gojekindonesia,0
1287,jaket distro murah vans heapshot navy idr rb allsize fit m l cotton fleece order cek bio http jaketdistromurah com product jaketdistromurahvansheapshotnavy pic twitter com niptsxph,0
1288,hahaha pantek,0
1289,gojekindonesia,0
1290,gojekindonesia tolonggg cariin driver donggg tadi susah banget mau order ga dapet driver ambarukmo plaza,0
1291,cc crystalwidjaja,0
1292,perang lanjut perang demo politik dunia luar bela papua yg anggap jajah cara utuh dg kaya alam no dunia sumaui lbh jakarta metro tv bemunj official kompastv gojekindonesia grabid ambon fm seputarkupangid jatengpedia https twitter com freewestpapua status,0
1293,aduh,0
1294,kurang tau sih apa apresiasi dr gojekindonesia tp apresiasi bgt buat bapak yusup ngabisin banyak waktu rambutan biar gue naik bus dgn selamat beliau ga butuh bayar padahal sebenernya gue tuh order gojek lg beliau gada wajib buat anterin,0
1295,tenan,0
1296,,0
1297,mas tenan,0
1298,pilih,0
1299,psi apa poo kak al haha,0
1300,hai sila informasi nomor telepon email daftar alas lalu dm tks shl,0
1301,logika sederhana masih perlu bukti sekali baca lg twit sblm ny pelan pelan bacanyadi runtut,0
1302,gojekindonesia kembali saldo driver pick up sudah menconfirm tuju selesai pic twitter com iteryjbp,0
1303,gosend ndasanku charger t tulung,0
1304,hai ayu mohon maaf atas ketidaknyamanan sila follow dm agar dapat menindaklanjuti keluh tks shl,0
1305,kirim tentara tambah kualitas kuantitas opm yg hendak habis solusi perintah om jokowi sumaui trisakti suarapapua bemffui aiesecundip mb uns fib unair ekm ub gojekindonesia metro tv beritasatu mediaindonesia kompastv https twitter com natashafatah status,0
1306,gojekindonesia akhir akhir map tunjuk posisi driver kok sering akurat tadi dekat tiba jadi ubah jauh khawatir jadi ira driver pergi jauh trus batal baik tks,0
1307,gojekindonesia kakk dong pesan gofood makan nyampe di aplikasi terima gimana ngehubungin drivernya,0
1308,gojekindonesia,0
1309,siskae yg enya tiga siapa hdytrmdhn,0
1310,gojekindonesia mau tanya nih emg gojek ada undi macam dapet uang apa gitu dapet tertelp kata dapet uang jt tp harus isi gopay lebih banyak k apa bener komfirmasinya takut tipu,0
1311,hai mohon maaf atas ketidaknyamanan sila follow dm agar dapat menindaklanjuti keluh tks shl,0
1312,gojekindonesia mohon maaf min tp udah jam lalu komplain ga d respon yg baru ko d respon,0
